date,change_categorical,daily_change_pred,daily_change,tweets_count,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment
2018-10-25,Increase,5.094327918577801,9.136913846484807,4,0.063,0.721,0.216,0.9109
2018-10-26,Increase,1.1937154909102743,5.094327918577801,4,0.0,0.831,0.169,0.7088
2018-10-29,Decrease,-1.4782706371871512,1.1937154909102743,1,0.0,0.917,0.083,0.2023
2018-10-31,Increase,2.063331531835333,2.2491564940447795,2,0.039,0.685,0.277,0.8791
2018-11-01,Increase,0.6186749966260674,2.063331531835333,6,0.018,0.827,0.155,0.9409
2018-11-02,Decrease,-1.4462615613158536,0.6186749966260674,6,0.048,0.87,0.082,0.8661
2018-11-08,Decrease,-0.25327462564075365,0.930599379454322,1,0.0,0.534,0.466,0.9042
2018-11-09,Decrease,-5.4862925670809854,-0.25327462564075365,4,0.0,0.658,0.342,0.855
2018-11-14,Increase,1.2906983268782923,1.5558126240764691,1,0.0,0.645,0.355,0.5106
2018-11-15,Increase,1.68464572385858,1.2906983268782923,3,0.039,0.901,0.06,0.4451
2018-11-19,Decrease,-1.6917972407523238,-0.23707949075066906,7,0.038,0.85,0.112,0.8883
2018-11-21,Decrease,-3.65475044239163,-2.6763368455904435,2,0.0,0.791,0.209,0.4404
2018-11-23,Increase,6.19033937845126,-3.65475044239163,1,0.0,0.915,0.085,0.0772
2018-11-26,Decrease,-0.6011566250820555,6.19033937845126,1,0.0,0.649,0.351,0.8011
2018-11-28,Decrease,-1.9260016472930848,1.148524300394782,1,0.06,0.87,0.07,0.1007
2018-11-29,Increase,2.7288440954263526,-1.9260016472930848,3,0.0,0.784,0.216,0.8976
2018-11-30,Increase,2.2854333487562606,2.7288440954263526,1,0.0,1.0,0.0,0.0
2018-12-03,Increase,0.33753298714565005,2.2854333487562606,2,0.139,0.861,0.0,-0.7003
2018-12-07,Increase,2.0057504452540176,-1.4019690251539263,1,0.059,0.863,0.078,0.1324
2018-12-11,Decrease,-0.04362209865979017,0.4409127777264654,8,0.006,0.847,0.147,0.9877
2018-12-12,Increase,2.7795990488854505,-0.04362209865979017,1,0.0,0.738,0.262,0.4939
2018-12-13,Decrease,-2.9406345281373762,2.7795990488854505,1,0.0,0.796,0.204,0.4767
2018-12-18,Decrease,-1.2046353162674217,-3.269043022477069,1,0.0,0.47,0.53,0.8356
2018-12-19,Decrease,-5.282760403175347,-1.2046353162674217,8,0.058,0.868,0.074,0.296
2018-12-20,Increase,1.3919689724732232,-5.282760403175347,2,0.059,0.784,0.157,0.5562
2018-12-24,Increase,10.393045289828985,-7.62422922731949,2,0.132,0.618,0.25,0.6131
2018-12-26,Decrease,-3.0543722729811207,10.393045289828985,6,0.023,0.872,0.105,0.9175
2018-12-27,Increase,5.611615851199181,-3.0543722729811207,2,0.0,0.532,0.468,0.6588
2018-12-28,Decrease,-0.32049077477873666,5.611615851199181,1,0.0,0.648,0.352,0.5983
